Title,Genre,Year,IMDb Rating,Viewership (Billions),Episode Duration
Stranger Things,Sci-Fi ,2016,8.7,1,50 min
Wednesday,Mystery ,2022,8.1,1.7,50 min
Squid Game,Thriller ,2021,8,1.6,55 min
Bridgerton,Romance ,2020,7.3,0.9,60 min
Money Heist (La Casa de Papel),Crime ,2017,8.2,1,50 min
The Witcher,Fantasy ,2019,8.1,0.7,60 min
Dahmer – Monster,True Crime,2022,7.9,1,50 min
You,Psychological Thriller,2018,7.7,0.5,45 min
The Queen’s Gambit,Drama,2020,8.6,0.062,55 min
Outer Banks,Teen Adventure,2020,7.5,0.2,50 min
Lucifer (Netflix-acquired),Fantasy ,2016,8.1,0.6,45 min
All of Us Are Dead,Thriller,2022,7.5,0.56,55 min
Emily in Paris,Romantic Comedy,2020,6.9,0.5,30 min
The Crown,Historical Drama,2016,8.6,0.4,55 min
Manifest (Netflix-acquired),Mystery ,2018,7.1,0.4,45 min
Virgin River,Romance ,2019,7.4,0.25,50 min
13 Reasons Why,Teen Drama,2017,7.5,0.476,55 min
Black Mirror,Sci-Fi ,2011,8.8,0.1,60 min
Elite,Teen Drama,2018,7.4,0.4,50 min
Ginny & Georgia,Comedy / Drama,2021,7.5,0.5,50 min
Firefly Lane,Friendship / Drama,2021,7.4,0.3,50 min
